,title,company,location,salary,requirements
161,Data Entry Specialist,Quility,Remote,,Creates back up files for all data.Experience with data entry and contract review.Reviews and verifies data entered into Quility’s database to ensure accuracy…
162,"Assistant, VFX",Netflix,"Los Angeles, CA",,Strong organizational and data management skills.Research and gather technical data from previous titles.This position is fast moving and requires someone who…
163,Data Entry Specialist - Temporary,"Horizon Telcom, Inc.",Remote in Ohio,,Uses data entry equipment to record assigned data.Verifies and logs the receipt of data and obtains any data that is missing.
164,RSA Archer Data Entry Specialist,Copper River Shared Services,"Rockville, MD",,Address data inconsistencies by working with administrative staff to locate missing data.Establish data entry standards by continually updating filing systems…
165,Data Entry Specialist - Overnight,"Sunrise Medical Laboratories, Inc.","Hicksville, NY",,"Monday to Friday 10:30pm to 7:00am with rotating weekends.Enter patient, client, billing and test information into the Laboratory Information System."
166,"Senior Data Scientist, Asset Valuation",John Deere,"Remote in Johnston, IA",,Proposes innovative ways to look at problems utilizing available data as well acquiring new data.Experience in mentoring and coaching data science team members…
167,Data Analyst II,California Public Employees' Retirement System...,"Sacramento, CA 95811 (Downtown area)","$3,800 - $7,079 a month",CalPERS seeks a Research Data Analyst for the administration and reporting (A&R) duties of the California Employers’ Retiree Benefit Trust (CERBT) and the…
168,Data Scientist,Red Bull,"Santa Monica, CA",,"Experience in unstructured data handling and analysis.You will be subject-matter expert in the domains of machine learning, applied statistics, data…"
169,Data Entry Clerk,Power Stop LLC,"Bedford Park, IL 60638 (Clearing area)",,Prepare data for computer entry by compiling and sorting information.Must be a fast typist to key a large amount of data into Excel without errors.
170,REMOTE (LONG ISLAND BASED)* DATA ENTRY ASSOCIATE,ABI Document Support Services,"Remote in Bethpage, NY+1 location",,Prior work experience in data entry.ABI is seeking a Data Entry Clerk (internally known as Order Entry Specialist) role is to process new orders.
171,Social Media Strategist,Klarity Health,Remote,"$70,000 - $95,000 a year",We seek a talented Social Media Strategist with the goal of customer engagement and high levels of web traffic.A strong sympathy for ADHD patient groups.
172,newSr. Data Analyst,Toyota,"Plano, TX 75023",,"Toyota Financial Services (TFS) is looking for a highly motivated Senior Analyst, Data Analysis whose primary focus is to generate actionable insights by…"
173,newJunior Data Scientist - 100% Remote,Piper Companies,Remote,$50 - $60 an hour,"Analyze complex data sets, identifying and interpreting trends, and providing detailed reports of findings.Assist in the creation, deployment, and maintenance…"
174,newData Analyst,ServiceNow,"Santa Clara, CA 95054+3 locations",,Manage commissions data files and Anaplan uploads.Perform monthly audits on GSD performance and productivity data to ensure compliance with criteria;…
175,"Senior Data Analyst, OSC Analytics (Remote)",Home Depot / THD,"Remote in Atlanta, GA+9 locations","$56,000 - $106,080 a year",An unquenchable intellectual curiosity for getting at the underlying story being told within the data.And operates under minimal supervision and mentorship of…
176,"Associate, Data Science",ENGINE Group,Remote in Ohio,,"Learn the use and limitations of data from various sources, big data, behavioral data, client data, and how to leverage it to solve client needs."
177,newSummer Student - Investment Data & Analytics,Voya Financial,Remote,$20 - $23 an hour,Perform daily and monthly quality control functions to ensure integrity of data prior to data release to end users.Interest in pursuing CFA Charter.
178,Data Scientist (Remote),Yelp,Remote,,"Communicate key insights from analyses, experiments and data products to stakeholders.Expertise in SQL, and R or Python for data analysis and platform…"
179,"Data Quality Analyst, Studio Data Management",Netflix,+1 locationRemote,,Knowledge of data lifecycle and data governance concepts.Educate users on best data practices in order to improve data quality.
180,Data Scientist,"Sony Pictures Entertainment, Inc.","Culver City, CA+2 locations",,"Experience analyzing user level data (PII and anonymized), DMP data, social data and viewing / transactional or streaming data."
181,"Data Protection Analyst. (Open to remote work, except the fo...",Nike,"Remote in Beaverton, OR+1 location","$78,200 a year",Document requirements for new data protection needs.Assist with Business Process Reviews to determine potential data exposure.
182,Data Scientist,Fidelity Investments,"Boston, MA 02210 (South Boston area)+21 locations",,"You will partner with business stakeholders to identify/prioritize top AI opportunities, create business/technical requirements, transform large volumes of data…"
183,2022 MLB Tracking Operator (Seasonal),Major League Baseball,"Milwaukee, WI",,Work closely with MLB data operations personnel to troubleshoot system issues and ensure accuracy of data.Tracking Operators work with data generated by MLB's…
184,Data Entry,"Corus Group, LLC","San Francisco, CA",,Corus360 is seeking an Order Management/ Data Entry professional to be our consultant on site with our client.
185,newAssistant General Counsel - Data Analytics and Artificial In...,"JPMorgan Chase Bank, N.A.","Jersey City, NJ+6 locations",,"Assisting the data governance, with a focus on data management, and data analytics teams in establishing and reviewing frameworks related to data use and…"
186,"Data Analyst, Finance Analytics",Hulu,"Santa Monica, CA+2 locations",,"Expertise in manipulating large data sets, interpreting data trends, and combining a multitude of disparate data sources."
187,newImaging Data Analyst,Biogen,"Raleigh, NC+3 locations",,"These scripts not only assess the quality and completeness of received imaging data, but also can reorganize the hierarchical structure of the data, and extract…"
188,newData Analyst,Atrium Health,"Charlotte, NC 28217",,"Manages key data sources and data applications.Collects, prepares and manages administrative and clinical data.Ability to sit for long periods of time."
189,"newAnalyst, Workplace Ethics & Compliance",Blizzard Entertainment,"Santa Monica, CA 90405",,"Basic understanding of the key issues relating to data quality, data cleansing and data transformation.Help create efficiency by supporting the creation of…"
190,newData Entry,Reardon Associates,"Bolton, MA",$23 - $25 an hour,The ideal candidate should have solid typing ability and data entry in to Excel.Data Entry Temp 6 to 8 weeks $23-$25 an hour Great data entry project with an…
191,newPrivate Equity Administrative Analyst,California Public Employees' Retirement System...,"Remote in Sacramento, CA","$5,383 - $6,739 a month","Collects data and responds to requests by Stakeholder Relations, ICOR, other INVO programs, and internal/external auditors."
192,newSales Data Quality Analyst,UKG (Ultimate Kronos Group),"Remote in Lowell, MA",,"Experience managing large data sets in Excel, Competence in data manipulation.Analyze data provided on various reports, work with others to determine what…"
193,Data Science New Graduate,Hewlett Packard Enterprise,"Durham, NC 27703+4 locations",,You have basic knowledge of data science methodologies.You will load data into the infrastructure and contribute to the creation of the hypothesis matrix and…
194,"newDATA ENTRY OPERATOR, SEGMENTATION",University of Wisconsin–Madison,"Madison, WI 53706",,50% Prepares and sorts documents for data entry.Enters and updates data into a computer system or software or national database.
195,newSenior Data Analysis,AT&T,"Bedminster, NJ+8 locations","$84,900 - $169,800 a year","You may be responsible for employing data mining techniques to achieve data synchronization, redundancy elimination, source identification, data reconciliation,…"
196,newData Analyst,Atrium Health,"Charlotte, NC 28217",,"Manages key data sources and data applications.Collects, prepares and manages administrative and clinical data.Ability to sit for long periods of time."
197,newData Quality Engineer,Disney Streaming,"New York, NY+4 locations",,"Identifies data anomalies and certify data.Provide ad hoc analysis to support data team, business units, and key stakeholders for complex data quality…"
198,Data Scientist- Supply Chain- Remote,Nordstrom Inc,+7 locationsRemote,,Work closely with data engineering partners to leverage and improve our machine learning infrastructure.1+ year of relevant hands-on data science experience in…
199,"Graduate Data Science, Analyst I - August 2022 - Seattle",Expedia.com,"Seattle, WA 98119 (Queen Anne area)+11 locations",,You'll become a data specialist and the point of contact for data questions and insights.You'll make use of data visualization principles.
200,Data Scientist - Remote,Ford Motor Company,"Remote in Dearborn, MI+6 locations",,"Successful data scientists will be able to perform basic ETL on data sources within the Ford data lake, map data flow from source to analytic product, and…"
201,newPrivate Equity Administrative Analyst,California Public Employees' Retirement System...,"Remote in Sacramento, CA","$5,383 - $6,739 a month","Collects data and responds to requests by Stakeholder Relations, ICOR, other INVO programs, and internal/external auditors."
202,Data Visualization Specialist,Crunch.io,"Remote in San Francisco Bay Area, CA",,"Deep domain expertise of data science, statistical analysis, and data visualization.Able to design/develop industry-leading data visualizations based on an…"
203,Cybersecurity Engineer (Remote),Home Depot / THD,"Remote in Atlanta, GA","$50,000 - $130,000 a year",Protecting what matters most to our associates and consumers by securing our sensitive data and critical assets from current and emerging threats.
204,"newAnalyst, Workplace Ethics & Compliance",Blizzard Entertainment,"Santa Monica, CA 90405",,"Basic understanding of the key issues relating to data quality, data cleansing and data transformation.Help create efficiency by supporting the creation of…"
205,ICQA Data Analyst,Amazon.com Services LLC,"West Columbia, SC+9 locations",,"Development of data collection processes and data management systems.Initiative to develop tools, data collection processes, and data management systems."
206,"newData Analyst, Core Analytics",Blizzard Entertainment,"Irvine, CA 92618+4 locations",,"Demonstrated experience with some or all of the following: data modeling, data visualization, statistics.Write effective queries against big data sources that…"
207,"newQuantitative Analyst, YouTube",YouTube,"San Bruno, CA+1 location",,Conduct end-to-end analysis including data gathering and processing with ongoing deliverables to improve the quality of YouTube’s scaled offering to Tier 2…
208,"Data Protection Analyst. (Open to remote work, except the fo...",Nike,"Remote in Beaverton, OR+10 locations","$78,200 a year",Document requirements for new data protection needs.Assist with Business Process Reviews to determine potential data exposure.
209,"newData Scientist I, Neuroscience",UT Southwestern,"Dallas, TX 75390 (Design District area)+11 locations",,"0 - 2 years post-graduation experience in data analysis and/or scientific software development.Experience and Education M.S. in Computer Science,…"
210,"Associate, Data Science",ENGINE Group,Remote in Ohio,,"Learn the use and limitations of data from various sources, big data, behavioral data, client data, and how to leverage it to solve client needs."
211,newData Scientist,Exponent,"Los Angeles, CA 90066 (Del Rey area)+4 locations",,The desire to work with a diverse set of clients and engage in work outside of the traditional data science field.
212,newSenior Data Analysis,AT&T,"Bedminster, NJ+8 locations","$84,900 - $169,800 a year","You may be responsible for employing data mining techniques to achieve data synchronization, redundancy elimination, source identification, data reconciliation,…"
213,newData Quality Engineer,Disney Streaming,"New York, NY+4 locations",,"Identifies data anomalies and certify data.Provide ad hoc analysis to support data team, business units, and key stakeholders for complex data quality…"
214,"newAI | Analyst, Data Analytics",Hermann Transportation Services,Remote in Georgia,,The ideal candidate understands the need for data accuracy and cleanliness; is also familiar with data management best practices and a strong understanding of…
215,newData Scientist,BSC Group,"Boston, MA",,Demonstrated ability with data management and modeling software.Suggest methods to use data analytics to streamline processes.
216,newData Analyst I,"SYNENSYS, LLC","Peachtree City, GA 30269",,"Experience with data cleaning, data analysis, statistical calculations and data set configuration.Ensure data integrity throughout all phases of data…"
217,newData Scientist,Audible,"Newark, NJ",,"Passion for data (and fearlessness in the face of a data tsunami), modeling, research design and cutting-edges algorithms."
218,newData Engineer - Undergrad New College Grad - Multiple Locati...,Visa,"Austin, TX+39 locations",,"In the context of Visa, you will be part of our team of software developers, data architects, data analysts, and data scientists."
219,newData Analyst,Oracle,United States+5 locations,,"Ability to collect, organize, and display data in spreadsheet format.Follow-through skills necessary to get information from internal and third parties and…"
220,Data Entry Clerk,Fund For Public Health In New York Inc,United States,$25 an hour,"The person hired for this position will assist the EEO with data entry, records maintenance, and related clerical duties."
221,Data Engineer,Central Intelligence Agency,"Washington, DC 20505 (Foggy Bottom area)","$66,077 - $164,102 a year","Work experience related to data engineering, information, and data management.Data Engineers work with data consumers to create and populate optimal data…"
222,Junior Data Scientist,EPAM Systems,Georgia,,"Perform data munging (acquiring, cleaning, structuring and enriching raw data).You’ll work closely with senior colleagues in all stages of data science…"
223,Administrative Assistant- Data Entry,"Kenco Logistics Services, LLC","Avenel, NJ 07001",,Data Entry into the system.Create Inbound Damage reports and maintain Damage Tracking Log(s).Responsible for inbound damage notification to customer.
224,Enterprise Data Reporting Specialist,California Public Employees' Retirement System...,"Remote in Sacramento, CA","$5,815 - $9,408 a month","6+ years of experience working as Oracle SQL developer or data modeler.In addition, leveraging business data to generate information for strategic decision…"
225,newData Analytics Associate,Baylor College of Medicine,"Houston, TX 77030 (Medical Center area)",,"Acquires data from primary or secondary data sources and maintain databases/data systems.Develops and implements databases, data collection systems, data…"
226,Data Annotation - QC,Lucid Motors,"Newark, CA 94560",,"Annotate and label image and video data via computer using various internal software programs.Attach metadata (comments, markups, etc.) to image data in…"
227,newAnticipated - Data Assistant,RSU 6/MSAD 6 (Bonny Eagle),"Buxton, ME 04093",,Build and maintain data analysis reports/charts as requested.MSAD 6 Technology Department has an Anticipated Opening for a Data Assistant.
228,"newData Scientist I, Neuroscience",UT Southwestern,"Dallas, TX 75390 (Design District area)+11 locations",,"0 - 2 years post-graduation experience in data analysis and/or scientific software development.Experience and Education M.S. in Computer Science,…"
229,Data Scientist,Xcel Energy,"Denver, CO 80202 (Union Station area)","$82,700 - $117,566 a year",Data Wrangling/Exploration: Follow consistent practices to ensure data integrity and deal with imperfections in data.
230,Data Specialist,"Service Objects, Inc.","Remote in Santa Barbara, CA",,Assist in performing monthly data updates.Experience with data visualization tools is a plus.You have experience sifting through vast data sets to unlock…
231,Data Specialist,Construction Journal,+2 locationsRemote,,Our SaaS platform provides comprehensive and time sensitive information on construction projects and service contracts.
232,newData Analyst Associate,General Dynamics Information Technology,"Remote in Seaside, CA+18 locations",,"Design and administer data collection tools; clean, merge and manage existing data sets as well as establish and maintain data quality procedures to ensure…"
233,Data Analyst/Scientist,NW Natural,"Portland, OR","$72,300 - $99,200 a year",Manages and maintains data from internal and external data sources.Be responsible for data reliability and integrity.Up to 21 Vacation Sick Time Days.
234,"newQuantitative Analyst, YouTube",YouTube,"San Bruno, CA+1 location",,Conduct end-to-end analysis including data gathering and processing with ongoing deliverables to improve the quality of YouTube’s scaled offering to Tier 2…
235,newData Analytics Director,Microsoft,"Mountain View, CA 94043+1 location",,Lead the team which will improve how we service engineering through data.Build a culture of data analytics as a basis for continual improvement within both IS…
236,newData Entry Specialist,Randall-Reilly,"Charlotte, NC 28270 (Oxford Hunt area)",,Verify data by comparing it to source documents.Transfer data from paper source documents into database systems.Basic alpha-numeric and 10-key skills.
237,Post-Doctoral Associate,University of Minnesota,"Minneapolis, MN+39 locations",,Familiarity with quantitative and qualitative analysis of educational research data.Collecting new data related to student-student discourse.
238,Data scientist,Avila Trading,"San Francisco, CA",,"(Ability to write functions, clean and efficient data manipulation are mandatory for this role).Conceptual understanding in Machine Learning models like Nai¨ve…"
239,Jr Data Scientist,Ilmuone Data,Remote,,Mandatory: Experienced using programming languages (at least Python and SQL) to manipulate data and draw insights from large data sets.
240,newData Analyst/Biostatistician,Columbia University,"New York, NY+2 locations","$70,000 a year","Work with the research team to clean and develop data systems.Perform statistical analyses including analysis using longitudinal data, propensity score and…"
241,Post-Doctoral Associate,University of Minnesota,"Minneapolis, MN+35 locations",,Familiarity with quantitative and qualitative analysis of educational research data.Collecting new data related to student-student discourse.
242,"Editorial Assistant, Children's Books",Barnes & Noble,"New York, NY 10003 (Flatiron area)",,Enters title data into Title Management and maintains data throughout publishing process.The Editorial Assistant will report to an Executive Editor and Senior…
243,Data scientist,Avila Trading,"San Francisco, CA",,"(Ability to write functions, clean and efficient data manipulation are mandatory for this role).Conceptual understanding in Machine Learning models like Nai¨ve…"
244,Jr Data Scientist,Ilmuone Data,Remote,,Mandatory: Experienced using programming languages (at least Python and SQL) to manipulate data and draw insights from large data sets.
245,"newAI | Analyst, Data Analytics",Randall-Reilly,Remote in Georgia,,The ideal candidate understands the need for data accuracy and cleanliness; is also familiar with data management best practices and a strong understanding of…
246,"Strategic Data Analyst, Global Partnerships, Sellside Go-to-...",Google,"New York, NY (Chelsea area)+15 locations",,"Gather and analyze data through various sources, including SQL, spreadsheets, and other systems in Google’s data infrastructure."
247,Game Support specialist,Epic Games,"Cary, NC",,"Maintains a working relationship with Epic Product teams for incoming news and features, and outgoing feedback and PS data."
248,DATA ENTRY CLERK,Ross Stores,"Brookshire, TX 77423",$17.50 an hour,Analyze system output and troubleshoot erroneous data.Translating DCIS data and calculating performances for each associate covered by the program.
249,Temporary Administrative/Data Entry,"City of Burlington, Vermont","Burlington, VT",,Assist with reconciliation and data validation.Perform data entry for accounts payable and other accounting transactions.Assist with general accounting tasks.
250,newResearch Coordinator,Etsy,"Remote in Brooklyn, NY",,"The Research team helps inspire product and business decisions, using data to improve the experiences of current and prospective Etsy customers."
251,DATA ANALYST,University of Washington,"Remote in Seattle, WA+5 locations",,"Bring together data, analytic engines, and data visualizations in one seamless computational process.Create and document efficient, effective, and replicable…"
252,Data Entry,The House of Portraits,"San Jacinto, CA 92583",,Do you have basic understanding of computers and data entry software (such as Microsoft Excel)?
253,Data Visualization Specialist,Apple,"Cupertino, CA+16 locations",,"You will work with a wide range of data sources and data types and need to design balanced data processes to connect, transform and combine disparate data."
254,"newData Analyst, Core Analytics",Blizzard Entertainment,"Irvine, CA 92618+5 locations",,"Demonstrated experience with some or all of the following: data modeling, data visualization, statistics.Write effective queries against big data sources that…"
255,newData Analyst (HR),Genuent,North Carolina,,This person should want to get deep in the data sets and look for problems and how to be solved by telling the data story or as importantly analyzing successes…
256,Epic Data Reporting Analyst Professional,Children's Hospital Colorado,"Aurora, CO",$40.58 - $60.87 an hour,"Creates data products, data visualizations and presentations.Identifies data sources needed to produce required data sets or reports."
257,"newData Scientist Manager, Search",Google,"Mountain View, CA+1 location",,"Ability to select the right statistical tools given a data analysis problem.At Google, data drives all of our decision-making."
258,newData Scientist II,eBay Inc.,"Remote in Bellevue, WA+4 locations",,"Excellent understanding of computer science fundamentals, data structures, and algorithms.Experience in big data processing and analysis, e.g. Hadoop, SQL,…"
259,"newAI | Analyst, Data Analytics",Hermann Transportation Services,Remote in Georgia,,The ideal candidate understands the need for data accuracy and cleanliness; is also familiar with data management best practices and a strong understanding of…
260,newData Analyst,Bronco Billy's Casino and Hotel,"Cripple Creek, CO 80813","From $45,000 a year",Enters data into appropriate databases/applications.Identifies and facilitates the correction of “bad data” in any of the property’s databases.
261,Post-Doctoral Associate,University of Minnesota,"Minneapolis, MN+35 locations",,Familiarity with quantitative and qualitative analysis of educational research data.Collecting new data related to student-student discourse.
262,Jr Data Scientist,Ilmuone Data,Remote,,Mandatory: Experienced using programming languages (at least Python and SQL) to manipulate data and draw insights from large data sets.
263,Administrative Assistant- Data Entry,"Kenco Logistics Services, LLC","Avenel, NJ 07001",,Data Entry into the system.Create Inbound Damage reports and maintain Damage Tracking Log(s).Responsible for inbound damage notification to customer.
264,"Strategy and Operations Associate, Marketing",Google,"Mountain View, CA",,Evaluate Marketing performance/impact and make data-driven recommendations for how to adjust our approach to reach our ambitious goals.
265,Remote Clinical Data Reviewer (contract),Pfizer,Remote,,Clinical/medical review of subject data; reconciliation of data between multiple sources.Basic understanding of how data points from different field/CRFs…
266,"Strategic Data Analyst, Global Partnerships, Sellside Go-to-...",Google,"New York, NY (Chelsea area)+15 locations",,"Gather and analyze data through various sources, including SQL, spreadsheets, and other systems in Google’s data infrastructure."
267,Data Coordinator,Clinilabs,+1 locationRemote,,Perform data entry and data QC.Monitor and update study database to ensure that all data is being processed in a timely manner.
268,newData Scientist I,Gilbane Building Company,"Providence, RI 02903 (Downtown area)",,Ability to understand various data structures and produce data visualizations.Extensive background in data mining and statistical analysis.
269,Data Mentor (Part-time),Pathrise,+8 locationsRemote,$30 - $60 an hour,3+ years of experience in the technology industry or in a related field as a data scientist or a data analyst.Flexible schedule and remote work.
270,Part-Time Stocker,ALDI,"Hudson, FL+126 locations",$15.50 an hour,"Upholds the security and confidentiality of documents and data within area of responsibility.When you join our team as a Stocker, you’ll be responsible for…"
271,Research Assistant,North Carolina State University,"Raleigh, NC+14 locations",$23 - $28 an hour,"Processing and interpreting transportation data and creating data visualizations.Collecting, preparing, verifying and analyzing data supporting transportation…"
272,newSenior Data Entry Clerk - Remote,UnitedHealth Group,"Remote in Dallas, TX+2 locations",,"1+ years of data entry or administrative experience.Performs high-volume data entry using word processing, spreadsheet, database, or other computer software."
273,newOriginals Reporting Analyst,Hulu,"Santa Monica, CA 90404",,"The right person for this role is highly analytical, has strong attention to detail, and likes to solve problems."
274,newResearch Coordinator,Etsy,"Remote in Brooklyn, NY",,"The Research team helps inspire product and business decisions, using data to improve the experiences of current and prospective Etsy customers."
275,Cybersecurity Engineer (Remote),Home Depot / THD,"Remote in Atlanta, GA+16 locations","$50,000 - $130,000 a year",Protecting what matters most to our associates and consumers by securing our sensitive data and critical assets from current and emerging threats.
276,newMaster Data Engineer,Capital One - US,"San Francisco, CA 94108 (Financial District/South Beach area)+126 locations",,At least 2 years of experience in big data technologies.4+ years of data warehousing experience (Redshift or Snowflake).
277,Public Health Epidemiologist,Placer County,"Auburn, CA","$74,589 - $93,163 a year","The Public Health Epidemiologist is responsible for analyzing and interpreting population-based health data, developing and implementing public health…"
278,Data Analyst,Baker Hughes,"Houston, TX 77041+3 locations",,Processing ILI data from the field following strict procedures and parameters.Delivering accurate and reliable data based on thorough data analysis is the…
279,"Associate, Data Science",ENGINE Group,Remote in Ohio,,"Learn the use and limitations of data from various sources, big data, behavioral data, client data, and how to leverage it to solve client needs."
280,newData Pipeline Engineer,HealthVerity,+3 locationsRemote,,"Standardizing on common data models across data types.Develop services that facilitate ingestion, storage, and extraction of data throughout HealthVerity’s…"
281,newProject Titan Data Specialist,Dallas Theological Seminary,"Dallas, TX 75204 (Old East Dallas area)",$20 an hour,"The position is responsible for entering data to support the new computer system, ensuring efficiency and accuracy.High school diploma or equivalent."
282,newData Quality Representative,"Avetta, LLC","Remote in Orem, UT",,Perform quality checks on submitted data and documents.Provide weekly reporting of data quality trends and efforts.
283,newAssociate Data Engineer,Ubisoft,"San Francisco, CA 94107 (Financial District/South Beach area)",,Implement and monitor data quality indicators across the data pipeline.Develop microservices to support our data operations.Paid time off to volunteer.
284,Data Analyst,"City of Norfolk, VA","Norfolk, VA+1 location","$60,149 - $98,068 a year",Four years' experience in data analysis or related field; or an equivalent combination of education and experience.Formal training in statistical methods.
285,newData Quality Representative,"Avetta, LLC","Remote in Orem, UT",,Perform quality checks on submitted data and documents.Provide weekly reporting of data quality trends and efforts.
286,"Vice President, Data Science and Engineering",Google,"Mountain View, CA+2 locations",,"Passion for data and metrics.This will deliver insights extracted from Google's wealth of data, thus enabling teams throughout Search and Assistant to have the…"
287,Data Analyst (FT) Virtual Health,Ballad Health,"Johnson City, TN",,Job Details Apply Save Print this job Email a…
288,Data Scientist,Ascension,"Remote in Austin, TX",,Ability to engage with stakeholders to obtain necessary data for analyses which could include disparate source systems and data structures.
289,"newAssociate, Data Science",BlackRock,"Palo Alto, CA 94301 (University South area)+1 location",,"Hands-on experience with data science and machine learning techniques.We work with data from a wide variety of sources including text, news feeds, financial…"
290,newData Analyst - Strategic Partnerships,Platform.sh,Remote,,"Creative energy for data visualization.An enthusiastic understanding of data process analysis and implementation, with experience doing needs assessments."
291,newData Analyst Associate,General Dynamics Information Technology,"Remote in Seaside, CA+18 locations",,"Design and administer data collection tools; clean, merge and manage existing data sets as well as establish and maintain data quality procedures to ensure…"
292,newGlobal Project Data Administrator,"Bio-Rad Laboratories, Inc.","Hercules, CA",,Responsible for data quality and evaluation covering global commercial organization data-sets.Bio-Rad is seeking a Data Administrator required to support GCO…
293,Data Collection Specialist,Cognizant Technology Solutions,"Mountain View, CA 94035",,"Experience with data analysis, uncovering insights in data & data visualization.In this role, you will manage the end-to-end success of this program from data…"
294,Early Careers | Financial Modeling & Research | New York,Goldman Sachs,"New York, NY 10282 (Battery Park area)",,"Some roles will require proficiency in R, Python, or similar for statistical modeling and analyzing time-series data."
295,Data Annotation and Strategy,Opendoor,United States,"$132,000 - $211,000 a year",The Data Annotation team is responsible for annotating data to support live operations and test novel features.Excellent verbal and written communication.
296,newData Entry Clerk,AAA Texas,"Coppell, TX 75019",,"Complete data entry into various membership systems in order to create various types of new memberships, add associates/products, cancel products or membership…"
297,Data Scientist,"Fiserv, Inc.","San Jose, CA+4 locations",,(2) Conduct independent data analysis to gain full understanding of the data and identify the data issues to resolve.(2) Data science in Python.
298,Data Analysis and Visualization Specialist,TikTok,"Los Angeles, CA+1 location",,"1-2+ years professional experience in data or quantitative analysis, data visualization, or other relevant topic.Advanced proficiency in SQL and Excel."
299,KYC Data and Document Refresh Team Associate,Morgan Stanley,"New York, NY+1 location",,"AML, client onboarding, or client reference data experience desired.Strong ability to manage large data sets in order to analyze project trackers and metrics."
300,newOHIO Online Application Reader,Ohio University,"Athens, OH",,"The position has autonomy to make admission decisions based on established guidelines; he or she exercises independent judgement, including of sensitive…"
301,newBack-End Data Engineer,PepsiCo,"Indianapolis, IN+1 location","$125,000 - $270,000 a year","This spans architecture, data modeling, API design, data pipelines, testing, implementation, security, deployment, and operability."
302,newOMMA Data Scientist,State Department of Health,"Oklahoma City, OK","Up to $65,000 a year",Ensure that data problems become data solutions.Create data dictionaries and mappings for all data collected.Full or Part Time Full-Time.
303,Data Scientist I,MasterCard,"O'Fallon, MO 63368+1 location",,Cleans and structures data sets fed to downstream analytics.Aggregates and collates client data sets and conducts data manipulation and technical analysis…
304,newData Analytics Scientist,Honda Dev. and Mfg. of Am LLC,"Marysville, OH",,"Collaborates with a team of digital problem-solvers to deliver consistent, data-driven business outcome.In this role, you will be responsible for identifying…"
305,newProject Titan Data Specialist,Dallas Theological Seminary,"Dallas, TX 75204 (Old East Dallas area)",$20 an hour,"The position is responsible for entering data to support the new computer system, ensuring efficiency and accuracy.High school diploma or equivalent."
306,Temporary Administrative/Data Entry,"City of Burlington, Vermont","Burlington, VT",,Assist with reconciliation and data validation.Perform data entry for accounts payable and other accounting transactions.Assist with general accounting tasks.
307,M&A Data Analytics Contractor,Deloitte Financial Advisory Services LLP,Remote in California,,Analyze deal data for trends and outliers.Statistical methods in support of data analysis.Strong working knowledge of data structures and database design.
308,newRemote Data Analyst (2022-3474),Atrium CWS,"Remote in Atlanta, GA",,"Build and validate KPI metrics, monitor data quality, analyze various forms of data (e.g. raw data, base data, 3rd party data), while providing reports and…"
309,newData Analyst / Data Science ML Trainee,Arkansas Center for Data Sciences,"Rogers, AR",,Translate business problems to data related or mathematical solutions.Generate appropriate graphical representations of data and model outcomes under guidance.
310,Provider Data Coordinator I - Remote Available,Medicare,Remote in Massachusetts+6 locations,,"Experience with data management in large databases, reporting and analysis preferred.1+ years of provider data or network administration experience, preferably…"
311,C# Developer & Data Analyst (remote),Charles Schwab,"Hybrid remote in Austin, TX","$105,300 - $210,500 a year","Demonstrated ability to process large quantities of data, summarize key findings.Daily monitoring and analysis of relevant data to identify and advance…"
312,"Product Manager, Product Data Tools (Open to remote work, ex...",Nike,"Remote in Beaverton, OR+11 locations","$117,000 a year","Strong analytical background and/or relevant data driven job experience.Outstanding problem solving, with emphasis on useful data driven decision making."
313,Associate Research Analyst – Data Focus,The Dieringer Research Group,"Remote in Brookfield, WI+1 location",,Conduct data checks during data collection and data processing phases to ensure accuracy.Create high quality and client friendly data files and data tables.
314,Data Analyst - 4116949,Accenture,"San Diego, CA+41 locations",$34.21 - $62.83 an hour,Accenture Flex employees work in their local metro area onsite at the project significantly reducing and or eliminating the demands to travel.
315,Stylist,Stitch Fix,"Remote in San Francisco, CA",$15.63 an hour,They are empowered to operate within a flexible schedule environment that supports autonomy and business needs.
316,Natural Resources Specialist I,City of Tacoma,"Tacoma, WA 98402 (New Tacoma area)+1 location","$73,819 - $94,598 a year",Competency in electronic field data collection methods.This position facilitates the interaction between these agencies by navigating their distinct goals…
317,C# Developer & Data Analyst (remote),Charles Schwab,"Hybrid remote in Austin, TX","$105,300 - $210,500 a year","Demonstrated ability to process large quantities of data, summarize key findings.Daily monitoring and analysis of relevant data to identify and advance…"
318,Machine Learning Data Scientist,SIS,"Sunnyvale, CA",,"Type: W2 Inc Description: Location Sunnyvale , CA Min Experience (yrs): Required Education: Not Specified Benefits…"
319,Prime IT Data Analyst,Barclays,"Whippany, NJ 07981+4 locations",,Maintaining data catalog/data dictionary for all data to be integrated in Prime Data Science Platform.Contributing towards initial data analysis for business…
320,Data Analyst Junior (Neuropsychiatry),University of Pennsylvania,"Philadelphia, PA 19104 (University City area)+14 locations",,"Other duties might include: performing data management functions like extracting, importing, and exporting data from various in-house applications;…"
321,newResearch Analyst,Disney Media & Entertainment Distribution,"Burbank, CA+3 locations",,"Tableau or data visualization skills a plus.Distribute core data reports after doing routing quality control checks.Sequel, Python proficiency a plus."
